x,y,region
587,1182,leading_edge
643,1213,leading_edge
700,1307,leading_edge
755,1338,leading_edge
811,1370,leading_edge
867,1401,leading_edge
868,1464,leading_edge
868,1528,leading_edge
924,1559,leading_edge
980,1590,leading_edge
1091,1652,leading_edge
1147,1683,leading_edge
1258,1745,leading_edge
1314,1777,leading_edge
1370,1808,leading_edge
1480,1806,leading_edge
1536,1837,leading_edge
1647,1836,leading_edge
1701,1804,leading_edge
1756,1771,leading_edge
1867,1770,leading_edge
1922,1737,leading_edge
1977,1705,leading_edge
2031,1609,leading_edge
2086,1576,leading_edge
2141,1544,leading_edge
2196,1511,leading_edge
2195,1448,leading_edge
2305,1383,leading_edge
2304,1319,leading_edge
2358,1223,leading_edge
2413,1191,leading_edge
2468,1158,leading_edge
2524,1189,leading_edge
2578,1093,leading_edge
2633,1061,leading_edge
2688,1028,leading_edge
2742,996,leading_edge
2798,1027,leading_edge
2909,1026,leading_edge
2964,993,leading_edge
3018,897,leading_edge
3074,928,leading_edge
3129,959,leading_edge
3240,958,leading_edge
3350,957,leading_edge
3461,955,leading_edge
3572,954,leading_edge
3627,921,leading_edge
3682,889,leading_edge
3737,920,leading_edge
3848,919,leading_edge
3904,950,leading_edge
3959,981,leading_edge
3960,1044,leading_edge
3961,1108,leading_edge
4017,1139,leading_edge
4017,1203,leading_edge
4018,1266,leading_edge
4074,1297,leading_edge
4075,1361,leading_edge
4130,1392,leading_edge
4186,1423,leading_edge
4297,1485,leading_edge
4243,1581,leading_edge
4244,1645,leading_edge
4190,1741,leading_edge
4136,1837,leading_edge
4137,1900,leading_edge
4137,1964,leading_edge
4138,2028,leading_edge
4139,2091,leading_edge
4086,2251,leading_edge
4032,2347,leading_edge
3977,2379,leading_edge
3977,2443,leading_edge
3922,2475,leading_edge
3922,2412,leading_edge
3865,2317,leading_edge
3809,2222,leading_edge
3753,2191,leading_edge
3697,2097,leading_edge
3586,2098,leading_edge
3642,2193,leading_edge
3699,2287,leading_edge
3700,2351,leading_edge
3700,2415,leading_edge
3756,2446,leading_edge
3757,2509,leading_edge
3813,2540,leading_edge
3814,2667,leading_edge
3816,2795,leading_edge
3817,2858,leading_edge
3818,2985,leading_edge
3819,3049,leading_edge
3820,3112,leading_edge
3821,3176,leading_edge
3821,3240,leading_edge
3822,3303,leading_edge
3823,3367,leading_edge
3824,3430,leading_edge
3770,3526,leading_edge
3825,3557,leading_edge
3826,3621,leading_edge
3771,3654,leading_edge
3716,3686,leading_edge
3661,3718,leading_edge
3606,3751,leading_edge
3552,3783,leading_edge
3497,3816,leading_edge
3552,3847,leading_edge
3608,3878,leading_edge
3331,3850,leading_edge
3220,3788,leading_edge
3165,3820,leading_edge
3110,3852,leading_edge
2944,3886,leading_edge
2779,3920,leading_edge
2724,3953,leading_edge
2614,4018,leading_edge
2559,4050,leading_edge
2449,4051,leading_edge
2394,4084,leading_edge
2339,4116,leading_edge
2284,4149,leading_edge
2173,4150,leading_edge
2063,4152,leading_edge
1952,4153,leading_edge
1841,4154,leading_edge
1731,4156,leading_edge
1620,4157,leading_edge
1564,4126,leading_edge
1454,4127,leading_edge
1398,4096,leading_edge
1342,4065,leading_edge
1232,4067,leading_edge
1176,4035,leading_edge
1120,4004,leading_edge
1065,3973,leading_edge
1009,3942,leading_edge
953,3911,leading_edge
898,3880,leading_edge
842,3849,leading_edge
785,3754,leading_edge
839,3658,leading_edge
838,3531,leading_edge
837,3467,leading_edge
836,3404,leading_edge
835,3340,leading_edge
833,3150,leading_edge
777,3055,leading_edge
775,2928,leading_edge
774,2864,leading_edge
717,2706,leading_edge
716,2642,leading_edge
770,2546,leading_edge
770,2483,leading_edge
713,2388,leading_edge
712,2324,leading_edge
711,2261,leading_edge
710,2134,leading_edge
764,2038,leading_edge
762,1911,leading_edge
707,1879,leading_edge
706,1816,leading_edge
705,1752,leading_edge
649,1721,leading_edge
649,1658,leading_edge
648,1594,leading_edge
647,1531,leading_edge
646,1467,leading_edge
590,1372,leading_edge
589,1309,leading_edge
588,1245,leading_edge
587,1182,leading_edge
