x,y,region
2010,2534,leading_edge
2013,2610,leading_edge
2014,2649,leading_edge
1981,2669,leading_edge
1948,2689,leading_edge
1916,2709,leading_edge
1982,2707,leading_edge
2015,2687,leading_edge
2049,2705,leading_edge
2081,2685,leading_edge
2115,2703,leading_edge
2148,2683,leading_edge
2182,2701,leading_edge
2215,2681,leading_edge
2248,2699,leading_edge
2281,2679,leading_edge
2315,2697,leading_edge
2348,2677,leading_edge
2382,2696,leading_edge
2414,2675,leading_edge
2413,2637,leading_edge
2480,2635,leading_edge
2446,2617,leading_edge
2412,2599,leading_edge
2344,2563,leading_edge
2377,2543,leading_edge
2410,2522,leading_edge
2376,2504,leading_edge
2310,2506,leading_edge
2277,2526,leading_edge
2243,2508,leading_edge
2210,2528,leading_edge
2176,2510,leading_edge
2143,2492,leading_edge
2110,2512,leading_edge
2076,2494,leading_edge
2043,2514,leading_edge
2010,2534,leading_edge
