x,y,region
2177,10286,leading_edge
2521,10286,leading_edge
2685,10287,leading_edge
3037,10386,leading_edge
3381,10387,leading_edge
3553,10288,leading_edge
3898,10288,leading_edge
4070,10190,leading_edge
4242,10091,leading_edge
4415,9795,leading_edge
4587,9696,leading_edge
4931,9499,leading_edge
5104,9400,leading_edge
5267,9301,leading_edge
5448,9202,leading_edge
5621,8906,leading_edge
5793,8807,leading_edge
5965,8709,leading_edge
6310,8511,leading_edge
6482,8413,leading_edge
6654,8116,leading_edge
6827,8017,leading_edge
6999,7721,leading_edge
7172,7424,leading_edge
7172,7227,leading_edge
7345,6930,leading_edge
7345,6732,leading_edge
7345,6337,leading_edge
7346,6139,leading_edge
7346,5941,leading_edge
7346,5743,leading_edge
7347,5348,leading_edge
7175,5051,leading_edge
7003,4754,leading_edge
7004,4556,leading_edge
6832,4457,leading_edge
6660,4160,leading_edge
6488,3863,leading_edge
6316,3763,leading_edge
6144,3664,leading_edge
5972,3565,leading_edge
5973,3367,leading_edge
5801,3268,leading_edge
5629,2971,leading_edge
5457,2674,leading_edge
5285,2575,leading_edge
4941,2575,leading_edge
4597,2574,leading_edge
4425,2673,leading_edge
3908,2573,leading_edge
3564,2573,leading_edge
3220,2572,leading_edge
2876,2572,leading_edge
2531,2571,leading_edge
2359,2670,leading_edge
2359,3066,leading_edge
2358,3263,leading_edge
2358,3461,leading_edge
2358,3659,leading_edge
2702,4055,leading_edge
2701,4253,leading_edge
2873,4352,leading_edge
2873,4748,leading_edge
2700,5044,leading_edge
2872,5341,leading_edge
2871,5737,leading_edge
2699,5836,leading_edge
2699,6231,leading_edge
2698,6429,leading_edge
2698,6627,leading_edge
2697,7023,leading_edge
2697,7616,leading_edge
2696,7814,leading_edge
2696,8012,leading_edge
2696,8210,leading_edge
2524,8308,leading_edge
2523,8506,leading_edge
2523,8704,leading_edge
2351,8803,leading_edge
2350,9000,leading_edge
2350,9198,leading_edge
2350,9396,leading_edge
2178,9495,leading_edge
2177,9693,leading_edge
2177,9890,leading_edge
2177,10088,leading_edge
2177,10286,leading_edge
2349,10187,leading_edge
2521,10286,leading_edge
2693,10188,leading_edge
2865,10287,leading_edge
