x,y,region
820,2559,leading_edge
875,2590,leading_edge
929,2558,leading_edge
1092,2525,leading_edge
1146,2493,leading_edge
1255,2492,leading_edge
1364,2491,leading_edge
1473,2490,leading_edge
1581,2489,leading_edge
1635,2457,leading_edge
1744,2456,leading_edge
1853,2454,leading_edge
1962,2453,leading_edge
2071,2452,leading_edge
2179,2451,leading_edge
2234,2419,leading_edge
2342,2418,leading_edge
2451,2354,leading_edge
2559,2353,leading_edge
2614,2384,leading_edge
2723,2382,leading_edge
2777,2351,leading_edge
2831,2319,leading_edge
2886,2349,leading_edge
2995,2348,leading_edge
3049,2316,leading_edge
3157,2315,leading_edge
3212,2283,leading_edge
3320,2282,leading_edge
3375,2313,leading_edge
3429,2281,leading_edge
3538,2280,leading_edge
3647,2279,leading_edge
3756,2340,leading_edge
3865,2339,leading_edge
4028,2306,leading_edge
4137,2305,leading_edge
4191,2273,leading_edge
4246,2303,leading_edge
4246,2366,leading_edge
4247,2428,leading_edge
4248,2491,leading_edge
4248,2554,leading_edge
4249,2616,leading_edge
4196,2710,leading_edge
4197,2836,leading_edge
4198,2961,leading_edge
4198,2898,leading_edge
4199,3023,leading_edge
4200,3086,leading_edge
4201,3211,leading_edge
4202,3273,leading_edge
4203,3398,leading_edge
4204,3461,leading_edge
4206,3649,leading_edge
4207,3774,leading_edge
4208,3836,leading_edge
4155,3993,leading_edge
4211,4086,leading_edge
4156,4118,leading_edge
4102,4150,leading_edge
3994,4151,leading_edge
3939,4121,leading_edge
3885,4152,leading_edge
3722,4185,leading_edge
3668,4217,leading_edge
3613,4187,leading_edge
3504,4188,leading_edge
3395,4189,leading_edge
3341,4221,leading_edge
3233,4222,leading_edge
3178,4254,leading_edge
3070,4255,leading_edge
3015,4224,leading_edge
2961,4256,leading_edge
2852,4257,leading_edge
2743,4259,leading_edge
2634,4260,leading_edge
2580,4229,leading_edge
2471,4230,leading_edge
2362,4231,leading_edge
2253,4233,leading_edge
2198,4202,leading_edge
2144,4171,leading_edge
2089,4141,leading_edge
1980,4142,leading_edge
2034,4047,leading_edge
1979,4017,leading_edge
1924,3986,leading_edge
1815,3987,leading_edge
1706,3988,leading_edge
1652,3958,leading_edge
1543,3959,leading_edge
1489,3991,leading_edge
1381,4117,leading_edge
1380,3992,leading_edge
1271,3993,leading_edge
1162,3994,leading_edge
1108,4026,leading_edge
1054,3995,leading_edge
1053,3933,leading_edge
943,3872,leading_edge
888,3778,leading_edge
887,3716,leading_edge
887,3653,leading_edge
830,3497,leading_edge
830,3435,leading_edge
829,3372,leading_edge
828,3310,leading_edge
885,3466,leading_edge
831,3560,leading_edge
828,3247,leading_edge
773,3217,leading_edge
772,3154,leading_edge
771,3029,leading_edge
770,2966,leading_edge
770,2904,leading_edge
769,2841,leading_edge
768,2779,leading_edge
768,2716,leading_edge
767,2654,leading_edge
821,2622,leading_edge
